epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,412.656,3.71928,5.46455,4.14968,0,0,0,0,3.47708,6.04417,4.18429,0.000165049,0.000165049,0.000165049
2,811.596,3.12341,4.83582,3.55413,0.48116,0.06072,0.03904,0.00916,2.74856,6.09164,3.31951,0.000325147,0.000325147,0.000325147
3,1210.43,2.88846,4.28903,3.13705,0.48963,0.13063,0.09841,0.02874,2.5057,4.78935,3.07101,0.000478646,0.000478646,0.000478646
4,1610.39,2.70166,3.77988,2.90192,0.56987,0.05706,0.09209,0.0273,2.38853,4.32138,2.82401,0.0004703,0.0004703,0.0004703
5,2011.69,2.55773,3.43605,2.78918,0.61895,0.34438,0.33709,0.12214,2.33464,3.64449,2.70598,0.0004604,0.0004604,0.0004604
6,2414.46,2.47525,3.16119,2.68781,0.41027,0.49507,0.45131,0.18246,2.27796,3.22502,2.64368,0.0004505,0.0004505,0.0004505
7,2808.06,2.35035,2.91398,2.59814,0.62803,0.50062,0.54098,0.22238,2.2112,2.95614,2.54561,0.0004406,0.0004406,0.0004406
8,3199.72,2.27064,2.68218,2.50886,0.66197,0.54842,0.60179,0.26205,2.03496,2.97222,2.42723,0.0004307,0.0004307,0.0004307
9,3589.56,2.21348,2.55762,2.44777,0.64706,0.58411,0.64982,0.28141,2.09697,2.58589,2.43957,0.0004208,0.0004208,0.0004208
10,3978.06,2.14467,2.39717,2.37646,0.66317,0.64432,0.70349,0.31648,2.05193,2.35071,2.37629,0.0004109,0.0004109,0.0004109
11,4361.75,2.09603,2.25811,2.32761,0.74289,0.66651,0.73896,0.34217,2.01327,2.17734,2.32886,0.000401,0.000401,0.000401
12,4744.81,2.06486,2.1519,2.2837,0.67111,0.66342,0.72476,0.30148,2.06789,2.19261,2.32825,0.0003911,0.0003911,0.0003911
13,5131.29,2.01267,2.04806,2.24014,0.68812,0.71885,0.77258,0.37101,1.91668,1.9707,2.24935,0.0003812,0.0003812,0.0003812
14,5514.57,1.99199,2.0376,2.22249,0.74233,0.73104,0.77757,0.38649,1.85709,1.93041,2.18142,0.0003713,0.0003713,0.0003713
15,5895.28,1.95032,1.9516,2.18337,0.69192,0.69373,0.76969,0.35282,1.93475,1.94514,2.24113,0.0003614,0.0003614,0.0003614
16,6280.52,1.95168,1.92655,2.18122,0.78119,0.77592,0.81494,0.40173,1.81336,1.86571,2.15472,0.0003515,0.0003515,0.0003515
17,6661.53,1.91268,1.84887,2.1449,0.76887,0.76819,0.82264,0.40654,1.81844,1.7618,2.13109,0.0003416,0.0003416,0.0003416
18,7043.12,1.90965,1.81518,2.10569,0.7812,0.80289,0.8215,0.41575,1.80854,1.69106,2.07332,0.0003317,0.0003317,0.0003317
19,7425.21,1.86743,1.74994,2.07648,0.8077,0.78533,0.83336,0.41396,1.85486,1.70173,2.09067,0.0003218,0.0003218,0.0003218
20,7808.07,1.86672,1.72395,2.06504,0.80503,0.80458,0.83213,0.42381,1.80079,1.66122,2.05442,0.0003119,0.0003119,0.0003119
21,8187.57,1.84543,1.66905,2.04846,0.81555,0.77695,0.83806,0.42669,1.77659,1.60564,2.07015,0.000302,0.000302,0.000302
22,8572.4,1.82734,1.65693,2.02588,0.83826,0.81378,0.84663,0.43137,1.76978,1.46848,2.04184,0.0002921,0.0002921,0.0002921
23,8952.73,1.82,1.61747,2.02616,0.83962,0.83134,0.86173,0.42808,1.77509,1.56894,2.06186,0.0002822,0.0002822,0.0002822
24,9335.77,1.81194,1.58576,2.00078,0.83885,0.8155,0.86173,0.43812,1.76213,1.47527,2.02994,0.0002723,0.0002723,0.0002723
25,9714.48,1.77979,1.54167,1.9846,0.8474,0.81656,0.86559,0.44292,1.70975,1.42227,2.00877,0.0002624,0.0002624,0.0002624
26,10096.3,1.75875,1.52923,1.96627,0.83164,0.83888,0.87332,0.45218,1.73749,1.36899,1.98783,0.0002525,0.0002525,0.0002525
27,10477.1,1.78246,1.52577,1.9792,0.82134,0.81594,0.86296,0.43839,1.7426,1.42777,2.01077,0.0002426,0.0002426,0.0002426
28,10855,1.76968,1.50202,1.96042,0.81888,0.83767,0.86299,0.45849,1.69775,1.40669,1.96934,0.0002327,0.0002327,0.0002327
29,11234.7,1.73825,1.47386,1.93687,0.80275,0.83011,0.83851,0.4381,1.70342,1.5199,1.97404,0.0002228,0.0002228,0.0002228
30,11613.2,1.7358,1.46166,1.93884,0.8374,0.82948,0.86526,0.45627,1.6667,1.34385,1.93675,0.0002129,0.0002129,0.0002129
31,12003.3,1.72278,1.42786,1.91125,0.84571,0.84474,0.86864,0.45595,1.67748,1.42511,1.95293,0.000203,0.000203,0.000203
32,12388,1.72585,1.42085,1.90974,0.83744,0.85805,0.87454,0.46744,1.66089,1.36486,1.93308,0.0001931,0.0001931,0.0001931
33,13050.6,1.71222,1.40121,1.89625,0.84733,0.84228,0.87576,0.46772,1.64356,1.36252,1.90987,0.0001832,0.0001832,0.0001832
34,13845,1.71762,1.43038,1.92265,0.8533,0.83266,0.88305,0.4767,1.63188,1.30604,1.92034,0.0001733,0.0001733,0.0001733
35,14660.4,1.70145,1.37734,1.89893,0.86562,0.85019,0.88307,0.45392,1.69405,1.29317,1.97345,0.0001634,0.0001634,0.0001634
36,15483.3,1.70173,1.37136,1.89233,0.85107,0.85993,0.88659,0.47,1.66053,1.27829,1.92183,0.0001535,0.0001535,0.0001535
37,16300.8,1.6973,1.36917,1.88686,0.8612,0.84299,0.88332,0.47078,1.63875,1.30285,1.91647,0.0001436,0.0001436,0.0001436
38,17163.2,1.67734,1.35712,1.86677,0.86462,0.85798,0.89142,0.4729,1.63481,1.28207,1.90504,0.0001337,0.0001337,0.0001337
39,18350.1,1.67723,1.3292,1.86544,0.84608,0.86169,0.89855,0.48003,1.64063,1.29179,1.9055,0.0001238,0.0001238,0.0001238
40,19072.4,1.6751,1.34557,1.85983,0.8488,0.87237,0.89168,0.47589,1.63409,1.22772,1.90575,0.0001139,0.0001139,0.0001139
41,19476.1,1.61888,1.19367,1.88307,0.85472,0.86812,0.8831,0.48492,1.60843,1.18096,1.8809,0.000104,0.000104,0.000104
42,19880.8,1.57151,1.12856,1.84461,0.86064,0.87246,0.88756,0.48201,1.61208,1.15376,1.87939,9.41e-05,9.41e-05,9.41e-05
43,20284.9,1.56262,1.1102,1.82914,0.87072,0.87791,0.89462,0.49329,1.59453,1.14029,1.85409,8.42e-05,8.42e-05,8.42e-05
44,20689.1,1.55295,1.09875,1.81709,0.84879,0.88127,0.89297,0.4995,1.5794,1.10816,1.85335,7.43e-05,7.43e-05,7.43e-05
45,21091.9,1.54715,1.08493,1.80742,0.88137,0.87046,0.89242,0.49198,1.57592,1.10046,1.85201,6.44e-05,6.44e-05,6.44e-05
46,21493.1,1.53749,1.05701,1.80523,0.86598,0.88463,0.89824,0.50055,1.56758,1.11011,1.82198,5.45e-05,5.45e-05,5.45e-05
47,21896.2,1.533,1.07643,1.81054,0.8588,0.88162,0.89831,0.49808,1.57008,1.09522,1.82722,4.46e-05,4.46e-05,4.46e-05
48,22299.7,1.5171,1.04997,1.78738,0.85827,0.88752,0.90227,0.50308,1.56852,1.07837,1.82357,3.47e-05,3.47e-05,3.47e-05
49,22696.9,1.50765,1.05401,1.77897,0.85816,0.88645,0.90293,0.50294,1.56331,1.09589,1.82162,2.48e-05,2.48e-05,2.48e-05
50,23088.4,1.50484,1.03576,1.78296,0.86653,0.8875,0.9028,0.5057,1.56287,1.07661,1.81772,1.49e-05,1.49e-05,1.49e-05
